,Country,Total,1996Y,1997Y,1998Y,1999Y,2000Y,2001Y,2002Y,2003Y,2004Y,2005Y,2006Y,2007Y,2008Y,2009Y,2010Y,2011Y,2012Y,2013Y,2014Y,2015Y,2016Y,2017Y,2018Y,2019Y,2020Y,2021Y,2022Y,alpha-3,UN Code
142,New Caledonia,16,,,,,,,,,,1,,,,,1,1,,2,,,2,1,,3,3,1,1,NCL,540
143,Mali,16,,,,,,,,,,,,,,,,,,,,,,1,,5,3,1,6,MLI,466
144,Maldives,16,,,,,,,,,,,,1,1,,,,,,,,,,1,2,6,,5,MDV,462
145,Mauritania,16,,,,,,,,,,,,,,,,,,,,1,,,,3,1,7,4,MRT,478
146,Barbados,15,,,,,,1,,1,,,,,1,,,1,,1,,2,1,,1,1,,3,2,BRB,52
147,Guadeloupe,14,,,,,,1,,,1,,3,,,1,1,,1,1,1,,,,2,1,,,1,GLP,312
148,Democratic Republic Congo,13,1,,,,,,,,,,,,,,,,,,,,,,,1,3,5,3,COG,178
149,Nicaragua,13,,,,,,,,,,,,,,,,,,,,1,2,,3,2,1,,4,NIC,558
150,Mozambique,13,,,,,,,,1,,,,,,,1,1,,,1,,,2,,1,3,1,2,MOZ,508
151,Angola,11,,,,,,,,,,,,,,1,,,,,2,1,,,,3,1,2,1,AGO,24
152,Lesotho,10,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,,,2,LSO,426
153,Somalia,9,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,SOM,706
154,Turkmenistan,9,,,,,,,,,,,,,,,,1,,,,,,,,,,2,6,TKM,795
155,Faroe Islands,9,,,,,,,,,,,,,,1,,,2,,,1,,,,2,,1,2,FRO,234
156,Gabon,9,,,1,,,,,,,,,,,1,,,,,,,3,,1,,,,3,GAB,266
157,Burundi,8,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,1,BDI,108
158,Liberia,8,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,4,LBR,430
159,French Polynesia,7,,,,,,,,,,,,,1,,,1,,,,,1,1,,,2,,1,PYF,258
160,Chad,7,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,1,TCD,148
161,Niger,7,,,,,,,,,,,,1,,,,,,,,,1,,,1,2,,2,NER,562
162,Timor-Leste,7,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,2,1,TLS,626
163,Sierra Leone,7,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,SLE,694
164,Reunion,7,,,,,,,,,,,,,,,,,,,1,,2,,,1,1,,2,REU,638
165,Guyana,6,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,2,GUY,328
166,Congo,5,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,COG,178
167,Monaco,5,,,,,,,,,,,2,1,,,,,,,,,1,,1,,,,,MCO,492
168,Togo,5,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,TGO,768
169,San Marino,4,,,,,,,,,,,,,1,,,,,1,,,1,,,,,1,,SMR,674
170,Bahamas,4,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,,BHS,44
171,Gambia,4,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,GMB,270
172,Haiti,4,,,,,,,,,,,,,,,,1,,,,,,,,1,,,2,HTI,332
173,Guam,4,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,GUM,316
174,Grenada,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,GRD,308
175,Martinique,3,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,MTQ,474
176,French Guiana,3,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,GUF,254
177,Belize,3,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,BLZ,84
178,Eritrea,3,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,ERI,232
179,Cape Verde,2,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,CPV,132
180,Andorra,2,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,AND,20
181,Samoa,2,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,WSM,882
182,Aruba,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ABW,533
183,British Indian Ocean Territory,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,IOT,86
184,Cayman Islands,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,CYM,136
185,Dominica,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,DMA,212
186,Gibraltar,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,GIB,292
187,Djibouti,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,DJI,262
188,Republic of South Sudan,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,SSD,728
189,Christmas Island,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,CXR,162
190,Suriname,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,SUR,740
191,Saint Lucia,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,LCA,662
192,Solomon Islands,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SLB,90
193,Bermuda,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,BMU,60
194,South Georgia and the South Sandwich Islands,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,SGS,239
195,Vatican City State,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,VAT,336
196,Virgin Islands (U.S.),1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,VIR,850
197,Vanuatu,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,VUT,548
198,Sao Tome and Principe,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,STP,678
