,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,46948,46633,110065,77663,2.34,357
1,2,India,Asiatic Region,16659,16108,37224,18310,2.23,186
2,3,United States,Northern America,16319,15743,51552,16587,3.16,612
3,4,United Kingdom,Western Europe,5156,4911,21814,4430,4.23,334
4,5,Japan,Asiatic Region,4780,4622,7646,2322,1.6,200
5,6,Germany,Western Europe,4468,4282,12470,3926,2.79,264
6,7,Indonesia,Asiatic Region,3263,3248,2719,1348,0.83,45
7,8,Italy,Western Europe,3163,2948,10269,3251,3.25,205
8,9,Australia,Pacific Region,2796,2663,17072,2333,6.11,231
9,10,Canada,Northern America,2781,2666,10137,1759,3.65,263
10,11,France,Western Europe,2685,2547,7969,1678,2.97,235
11,12,South Korea,Asiatic Region,2269,2168,8502,1544,3.75,169
12,13,Spain,Western Europe,2065,1955,7629,1613,3.69,223
13,14,Russian Federation,Eastern Europe,2027,2004,2363,961,1.17,69
14,15,Turkey,Middle East,1920,1873,6497,1228,3.38,172
15,16,Taiwan,Asiatic Region,1883,1825,4938,950,2.62,199
16,17,Malaysia,Asiatic Region,1867,1819,4193,1059,2.25,120
17,18,Brazil,Latin America,1821,1762,4222,959,2.32,132
18,19,Iran,Middle East,1605,1593,8577,2230,5.34,137
19,20,Bangladesh,Asiatic Region,1446,1437,2971,979,2.05,50
20,21,Netherlands,Western Europe,1350,1261,4513,961,3.34,190
21,22,Pakistan,Asiatic Region,1330,1313,4735,1608,3.56,83
22,23,Hong Kong,Asiatic Region,1201,1172,6572,960,5.47,208
23,24,Singapore,Asiatic Region,1199,1136,8432,989,7.03,210
24,25,Saudi Arabia,Middle East,1181,1145,6223,1304,5.27,116
25,26,Greece,Western Europe,1027,986,2645,729,2.58,129
26,27,Thailand,Asiatic Region,1017,961,1447,306,1.42,62
27,28,Romania,Eastern Europe,993,964,973,331,0.98,70
28,29,Switzerland,Western Europe,982,930,4134,785,4.21,193
29,30,Poland,Eastern Europe,947,891,3357,767,3.54,120
30,31,Viet Nam,Asiatic Region,882,791,3675,614,4.17,67
31,32,Sweden,Western Europe,874,837,2477,549,2.83,116
32,33,Portugal,Western Europe,849,801,1989,383,2.34,116
33,34,Egypt,Africa/Middle East,821,762,4194,1010,5.11,100
34,35,Ukraine,Eastern Europe,814,777,641,496,0.79,35
35,36,Mexico,Latin America,765,638,2056,318,2.69,106
36,37,United Arab Emirates,Middle East,746,721,2684,475,3.6,62
37,38,Austria,Western Europe,726,688,2170,503,2.99,112
38,39,Belgium,Western Europe,687,647,2208,416,3.21,156
39,40,Philippines,Asiatic Region,670,665,554,346,0.83,31
40,41,Finland,Western Europe,641,614,2966,396,4.63,142
41,42,Denmark,Western Europe,578,554,2600,398,4.5,92
42,43,Norway,Western Europe,576,556,2468,477,4.28,80
43,44,Algeria,Africa,558,545,1435,231,2.57,64
44,45,Iraq,Middle East,548,544,1931,550,3.52,45
45,46,South Africa,Africa,515,494,1067,223,2.07,69
46,47,Czech Republic,Eastern Europe,503,476,1294,331,2.57,99
47,48,Sri Lanka,Asiatic Region,459,455,461,144,1.0,27
48,49,Ireland,Western Europe,452,438,1811,295,4.01,87
49,50,Israel,Middle East,418,407,1164,244,2.78,176
50,51,Jordan,Middle East,403,383,1735,490,4.31,67
51,52,Peru,Latin America,393,390,349,230,0.89,21
52,53,Tunisia,Africa,385,377,833,186,2.16,52
53,54,Bulgaria,Eastern Europe,382,338,338,200,0.88,39
54,55,Morocco,Africa,375,346,1097,270,2.93,45
55,56,Nigeria,Africa,339,317,942,232,2.78,34
56,57,New Zealand,Pacific Region,331,310,1126,160,3.4,95
57,58,Hungary,Eastern Europe,328,317,714,152,2.18,71
58,59,Colombia,Latin America,309,294,418,92,1.35,50
59,60,Chile,Latin America,285,284,503,117,1.76,69
60,61,Serbia,Eastern Europe,279,254,758,144,2.72,60
61,62,Kazakhstan,Asiatic Region,265,263,423,112,1.6,23
62,63,Macao,Asiatic Region,265,259,1038,109,3.92,78
63,64,Libya,Africa,242,241,196,54,0.81,15
64,65,Qatar,Middle East,205,190,1327,206,6.47,71
65,66,Slovakia,Eastern Europe,195,192,316,95,1.62,61
66,67,Cyprus,Western Europe,181,166,506,64,2.8,39
67,68,Ecuador,Latin America,175,170,157,54,0.9,30
68,69,Bahrain,Middle East,142,112,157,70,1.11,20
69,70,Slovenia,Eastern Europe,139,128,521,74,3.75,87
70,71,Croatia,Eastern Europe,133,129,431,68,3.24,50
71,72,Estonia,Eastern Europe,130,126,356,87,2.74,29
72,73,Lebanon,Middle East,130,126,243,43,1.87,39
