,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,United States,Northern America,6520,6385,163385,51363,25.06,612
1,2,China,Asiatic Region,4477,4460,73642,41366,16.45,357
2,3,Japan,Asiatic Region,1997,1970,26689,6462,13.36,200
3,4,United Kingdom,Western Europe,1751,1691,52882,10398,30.2,334
4,5,Germany,Western Europe,1379,1348,29071,6272,21.08,264
5,6,France,Western Europe,1166,1149,24391,5442,20.92,235
6,7,Spain,Western Europe,1034,1014,19607,4980,18.96,223
7,8,Canada,Northern America,1021,996,28519,3756,27.93,263
8,9,Italy,Western Europe,930,893,20723,4782,22.28,205
9,10,Australia,Pacific Region,859,833,20579,2702,23.96,231
10,11,Taiwan,Asiatic Region,837,830,23662,4497,28.27,199
11,12,South Korea,Asiatic Region,694,692,12451,1781,17.94,169
12,13,India,Asiatic Region,676,672,11598,3192,17.16,186
13,14,Netherlands,Western Europe,463,445,10845,1813,23.42,190
14,15,Hong Kong,Asiatic Region,395,383,15481,1189,39.19,208
15,16,Brazil,Latin America,342,334,4507,1099,13.18,132
16,17,Singapore,Asiatic Region,341,334,7411,770,21.73,210
17,18,Greece,Western Europe,328,320,9038,954,27.55,129
18,19,Iran,Middle East,273,273,6537,2348,23.95,137
19,20,Belgium,Western Europe,264,252,9092,1089,34.44,156
20,21,Poland,Eastern Europe,258,252,7359,1744,28.52,120
21,22,Switzerland,Western Europe,251,251,8962,699,35.71,193
22,23,Turkey,Middle East,242,238,8788,1170,36.31,172
23,24,Czech Republic,Eastern Europe,236,229,2325,657,9.85,99
24,25,Israel,Middle East,232,228,10791,973,46.51,176
25,26,Austria,Western Europe,232,216,4049,646,17.45,112
26,27,Portugal,Western Europe,213,206,3127,550,14.68,116
27,28,Malaysia,Asiatic Region,205,204,1883,347,9.19,120
28,29,Sweden,Western Europe,202,200,3596,539,17.8,116
29,30,Finland,Western Europe,202,201,5972,635,29.56,142
30,31,Mexico,Latin America,180,178,2588,692,14.38,106
