,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,United States,Northern America,2160,2151,170234,44848,78.81,612
1,2,Japan,Asiatic Region,903,901,16605,3956,18.39,200
2,3,United Kingdom,Western Europe,691,686,24962,4343,36.12,334
3,4,France,Western Europe,524,521,12278,2298,23.43,235
4,5,Germany,Western Europe,469,467,13538,2119,28.87,264
5,6,Italy,Western Europe,412,410,8642,1934,20.98,205
6,7,Spain,Western Europe,362,360,11339,2414,31.32,223
7,8,Canada,Northern America,306,305,12149,1747,39.7,263
8,9,Taiwan,Asiatic Region,266,266,12788,2026,48.08,199
9,10,Australia,Pacific Region,253,252,9189,1051,36.32,231
10,11,China,Asiatic Region,252,252,7284,3698,28.9,357
11,12,South Korea,Asiatic Region,223,222,7488,866,33.58,169
12,13,Netherlands,Western Europe,182,179,16012,1020,87.98,190
13,14,Brazil,Latin America,151,150,2404,380,15.92,132
14,15,Hong Kong,Asiatic Region,128,128,3635,398,28.4,208
15,16,Singapore,Asiatic Region,111,111,4353,239,39.22,210
16,17,India,Asiatic Region,107,107,5329,1057,49.8,186
17,18,Israel,Middle East,107,107,5958,541,55.68,176
18,19,Belgium,Western Europe,105,105,3157,200,30.07,156
19,20,Greece,Western Europe,105,104,2684,403,25.56,129
20,21,Sweden,Western Europe,99,97,2823,319,28.52,116
21,22,Switzerland,Western Europe,97,97,3342,234,34.45,193
22,23,Poland,Eastern Europe,88,88,2904,421,33.0,120
23,24,Finland,Western Europe,77,77,13293,537,172.64,142
24,25,Russian Federation,Eastern Europe,67,67,315,86,4.7,69
25,26,Portugal,Western Europe,58,58,1307,156,22.53,116
26,27,Turkey,Middle East,57,57,1565,343,27.46,172
27,28,Austria,Western Europe,54,49,1390,207,25.74,112
28,29,Czech Republic,Eastern Europe,51,51,1426,135,27.96,99
29,30,New Zealand,Pacific Region,41,41,1076,77,26.24,95
30,31,Slovenia,Eastern Europe,36,36,727,181,20.19,87
31,32,Mexico,Latin America,32,32,613,107,19.16,106
32,33,Argentina,Latin America,32,32,143,34,4.47,50
33,34,Hungary,Eastern Europe,30,30,959,102,31.97,71
34,35,Iran,Middle East,28,28,447,160,15.96,137
35,36,Romania,Eastern Europe,28,28,233,49,8.32,70
36,37,Egypt,Africa/Middle East,28,28,275,37,9.82,100
37,38,Denmark,Western Europe,27,27,646,62,23.93,92
38,39,Norway,Western Europe,25,25,668,26,26.72,80
39,40,Croatia,Eastern Europe,18,18,155,31,8.61,50
40,41,Slovakia,Eastern Europe,17,17,129,33,7.59,61
41,42,Ireland,Western Europe,16,16,1362,59,85.13,87
42,43,Saudi Arabia,Middle East,15,15,115,3,7.67,116
43,44,Tunisia,Africa,14,14,33,12,2.36,52
44,45,Lithuania,Eastern Europe,13,13,182,66,14.0,42
45,46,South Africa,Africa,12,12,267,19,22.25,69
46,47,Chile,Latin America,11,11,13,3,1.18,69
47,48,Venezuela,Latin America,11,11,62,12,5.64,33
48,49,Morocco,Africa,10,10,138,39,13.8,45
49,50,Serbia,Eastern Europe,10,10,78,13,7.8,60
50,51,Kuwait,Middle East,8,8,239,7,29.88,40
51,52,Malaysia,Asiatic Region,7,7,164,17,23.43,120
52,53,Bulgaria,Eastern Europe,7,7,217,9,31.0,39
53,54,Thailand,Asiatic Region,6,6,53,2,8.83,62
54,55,Colombia,Latin America,6,6,181,4,30.17,50
55,56,Jordan,Middle East,5,5,41,4,8.2,67
56,57,Algeria,Africa,5,5,155,13,31.0,64
57,58,Belarus,Eastern Europe,5,5,100,7,20.0,21
58,59,Lebanon,Middle East,4,4,40,1,10.0,39
59,60,Latvia,Eastern Europe,4,4,10,4,2.5,18
60,61,Cyprus,Western Europe,4,4,39,3,9.75,39
61,62,Liechtenstein,Western Europe,3,3,109,0,36.33,10
62,63,Ukraine,Eastern Europe,3,3,49,11,16.33,35
63,64,United Arab Emirates,Middle East,3,3,7,1,2.33,62
64,65,Oman,Middle East,2,2,4,0,2.0,30
65,66,Estonia,Eastern Europe,2,2,6,6,3.0,29
66,67,Azerbaijan,Eastern Europe,2,2,37,8,18.5,30
67,68,Pakistan,Asiatic Region,2,2,12,0,6.0,83
68,69,Cuba,Latin America,2,2,58,19,29.0,36
69,70,Kenya,Africa,1,1,0,0,0.0,15
70,71,Malta,Western Europe,1,1,22,6,22.0,29
71,72,Burkina Faso,Africa,1,1,17,0,17.0,3
72,73,Indonesia,Asiatic Region,1,1,1,0,1.0,45
73,74,Viet Nam,Asiatic Region,1,1,0,0,0.0,67
74,75,Libya,Africa,1,1,8,1,8.0,15
75,76,Philippines,Asiatic Region,1,1,33,12,33.0,31
76,77,Puerto Rico,Latin America,1,1,0,0,0.0,14
77,78,Palestine,Middle East,1,1,55,4,55.0,38
78,79,Georgia,Eastern Europe,1,1,0,0,0.0,20
79,80,Luxembourg,Western Europe,1,1,1,0,1.0,45
80,81,Sudan,Africa,1,1,51,0,51.0,14
81,82,Cameroon,Africa,1,1,12,2,12.0,17
82,83,Macedonia,Eastern Europe,1,1,10,1,10.0,22
83,84,Senegal,Africa,1,1,3,0,3.0,10
84,85,Mauritius,Africa,1,1,7,0,7.0,12
