,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,9006,8921,121181,70684,13.46,357
1,2,United States,Northern America,8077,7860,227850,72823,28.21,612
2,3,Japan,Asiatic Region,2649,2576,58583,7348,22.12,200
3,4,United Kingdom,Western Europe,2187,2062,50915,9475,23.28,334
4,5,Germany,Western Europe,1992,1873,79396,12767,39.86,264
5,6,India,Asiatic Region,1646,1629,19755,6557,12.0,186
6,7,Spain,Western Europe,1555,1492,29979,6369,19.28,223
7,8,Taiwan,Asiatic Region,1542,1518,55777,5134,36.17,199
8,9,France,Western Europe,1493,1435,73325,8189,49.11,235
9,10,South Korea,Asiatic Region,1446,1431,16347,2460,11.3,169
10,11,Italy,Western Europe,1369,1288,21236,5293,15.51,205
11,12,Canada,Northern America,1215,1175,31912,3965,26.27,263
12,13,Australia,Pacific Region,1041,1013,25003,3903,24.02,231
13,14,Netherlands,Western Europe,690,652,11998,1916,17.39,190
14,15,Iran,Middle East,681,680,14032,3516,20.6,137
15,16,Brazil,Latin America,656,635,7227,1613,11.02,132
16,17,Poland,Eastern Europe,493,479,5433,1964,11.02,120
17,18,Hong Kong,Asiatic Region,490,480,24455,1507,49.91,208
18,19,Turkey,Middle East,482,478,19341,2379,40.13,172
19,20,Malaysia,Asiatic Region,469,466,6050,1323,12.9,120
20,21,Singapore,Asiatic Region,468,451,16626,1434,35.53,210
21,22,Czech Republic,Eastern Europe,425,417,4580,1370,10.78,99
22,23,Romania,Eastern Europe,400,397,2478,539,6.2,70
23,24,Belgium,Western Europe,397,385,9691,1374,24.41,156
24,25,Mexico,Latin America,362,357,2809,700,7.76,106
25,26,Austria,Western Europe,358,336,4441,1026,12.41,112
26,27,Greece,Western Europe,352,337,5583,704,15.86,129
27,28,Switzerland,Western Europe,338,321,18282,1136,54.09,193
28,29,Portugal,Western Europe,323,305,4909,1026,15.2,116
29,30,Sweden,Western Europe,280,263,4035,497,14.41,116
30,31,Israel,Middle East,261,251,11499,860,44.06,176
31,32,Finland,Western Europe,260,253,3804,548,14.63,142
32,33,Hungary,Eastern Europe,255,253,1544,377,6.05,71
33,34,Denmark,Western Europe,185,173,3322,408,17.96,92
34,35,Ireland,Western Europe,173,166,1816,241,10.5,87
35,36,New Zealand,Pacific Region,171,164,5042,304,29.49,95
36,37,Thailand,Asiatic Region,164,162,1164,190,7.1,62
37,38,Norway,Western Europe,159,151,2498,193,15.71,80
38,39,Slovakia,Eastern Europe,159,158,1374,364,8.64,61
39,40,Saudi Arabia,Middle East,150,150,2216,294,14.77,116
40,41,Serbia,Eastern Europe,128,128,1396,223,10.91,60
41,42,Colombia,Latin America,123,121,1131,107,9.2,50
42,43,South Africa,Africa,122,106,943,172,7.73,69
43,44,Russian Federation,Eastern Europe,122,119,852,320,6.98,69
44,45,Egypt,Africa/Middle East,112,112,3667,210,32.74,100
45,46,Bulgaria,Eastern Europe,99,99,287,69,2.9,39
46,47,Slovenia,Eastern Europe,99,99,1971,281,19.91,87
47,48,Viet Nam,Asiatic Region,99,96,630,124,6.36,67
48,49,Chile,Latin America,95,94,1576,282,16.59,69
49,50,Pakistan,Asiatic Region,91,91,1179,198,12.96,83
50,51,Tunisia,Africa,90,89,718,256,7.98,52
51,52,Algeria,Africa,76,76,856,179,11.26,64
52,53,Ukraine,Eastern Europe,72,70,297,218,4.13,35
53,54,Estonia,Eastern Europe,66,65,804,134,12.18,29
54,55,Argentina,Latin America,62,62,975,160,15.73,50
55,56,Latvia,Eastern Europe,61,61,277,117,4.54,18
56,57,United Arab Emirates,Middle East,58,57,838,62,14.45,62
57,58,Jordan,Middle East,56,56,895,99,15.98,67
58,59,Luxembourg,Western Europe,54,54,1465,154,27.13,45
59,60,Lithuania,Eastern Europe,53,53,830,126,15.66,42
60,61,Indonesia,Asiatic Region,50,50,696,68,13.92,45
61,62,Macao,Asiatic Region,49,47,1018,110,20.78,78
62,63,Bangladesh,Asiatic Region,46,46,548,54,11.91,50
63,64,Cyprus,Western Europe,38,37,715,66,18.82,39
64,65,Croatia,Eastern Europe,34,34,265,37,7.79,50
65,66,Lebanon,Middle East,32,31,482,38,15.06,39
66,67,Nigeria,Africa,28,28,134,20,4.79,34
67,68,Iceland,Western Europe,28,28,863,145,30.82,36
68,69,Cuba,Latin America,28,28,653,35,23.32,36
69,70,Bosnia and Herzegovina,Eastern Europe,24,24,213,9,8.88,23
70,71,Morocco,Africa,22,22,308,60,14.0,45
71,72,Qatar,Middle East,21,21,258,49,12.29,71
72,73,Macedonia,Eastern Europe,19,19,163,17,8.58,22
73,74,Kuwait,Middle East,17,17,150,12,8.82,40
74,75,Iraq,Middle East,15,15,130,19,8.67,45
75,76,Venezuela,Latin America,14,14,86,5,6.14,33
76,77,Peru,Latin America,14,14,53,12,3.79,21
77,78,Uruguay,Latin America,14,14,210,18,15.0,20
78,79,Philippines,Asiatic Region,13,13,77,16,5.92,31
79,80,Oman,Middle East,12,12,131,6,10.92,30
80,81,Puerto Rico,Latin America,12,12,121,4,10.08,14
81,82,Malta,Western Europe,9,9,110,11,12.22,29
82,83,Sri Lanka,Asiatic Region,9,9,7,1,0.78,27
83,84,Albania,Eastern Europe,8,8,46,0,5.75,13
84,85,Belarus,Eastern Europe,8,8,75,5,9.38,21
85,86,Trinidad and Tobago,Latin America,8,8,104,1,13.0,12
86,87,Uganda,Africa,7,7,75,10,10.71,15
87,88,Myanmar,Asiatic Region,6,6,19,0,3.17,13
88,89,Ghana,Africa,6,6,37,6,6.17,19
89,90,Paraguay,Latin America,6,6,26,3,4.33,11
90,91,Senegal,Africa,6,6,22,0,3.67,10
91,92,Syrian Arab Republic,Middle East,5,5,54,0,10.8,17
92,93,Ecuador,Latin America,5,5,42,0,8.4,30
93,94,Palestine,Middle East,5,5,21,0,4.2,38
94,95,Armenia,Eastern Europe,4,4,33,5,8.25,9
95,96,Moldova,Eastern Europe,4,4,20,3,5.0,7
96,97,Libya,Africa,4,4,44,2,11.0,15
97,98,Kazakhstan,Asiatic Region,4,4,13,0,3.25,23
98,99,Costa Rica,Latin America,4,4,29,6,7.25,15
99,100,Sudan,Africa,4,4,3,1,0.75,14
100,101,Bahrain,Middle East,4,4,22,0,5.5,20
101,102,Azerbaijan,Eastern Europe,4,4,292,48,73.0,30
102,103,Jamaica,Latin America,3,3,82,5,27.33,10
103,104,Yemen,Middle East,3,3,37,2,12.33,23
104,105,Ethiopia,Africa,2,2,15,5,7.5,17
105,106,Brunei Darussalam,Asiatic Region,2,2,9,7,4.5,16
106,107,Nepal,Asiatic Region,2,2,2,1,1.0,13
107,108,Mongolia,Asiatic Region,2,2,0,0,0.0,7
108,109,Georgia,Eastern Europe,2,2,11,2,5.5,20
109,110,Fiji,Pacific Region,2,2,32,15,16.0,21
110,111,Montenegro,Eastern Europe,1,1,0,0,0.0,11
111,112,Barbados,Latin America,1,1,0,0,0.0,4
