,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,United States,Northern America,11496,11217,216965,71210,18.87,612
1,2,China,Asiatic Region,10630,10530,179166,118125,16.85,357
2,3,United Kingdom,Western Europe,3482,3319,66076,12164,18.98,334
3,4,Japan,Asiatic Region,3193,3092,21380,6304,6.7,200
4,5,Germany,Western Europe,3081,3004,35695,9713,11.59,264
5,6,India,Asiatic Region,2851,2808,33127,12282,11.62,186
6,7,Italy,Western Europe,2333,2232,28262,7827,12.11,205
7,8,France,Western Europe,2269,2220,23990,5117,10.57,235
8,9,Australia,Pacific Region,1937,1862,33754,5356,17.43,231
9,10,Spain,Western Europe,1936,1851,30183,6385,15.59,223
10,11,Canada,Northern America,1745,1685,38760,4514,22.21,263
11,12,South Korea,Asiatic Region,1538,1524,19700,2615,12.81,169
12,13,Taiwan,Asiatic Region,1528,1485,12158,1692,7.96,199
13,14,Brazil,Latin America,1201,1182,11103,2614,9.24,132
14,15,Iran,Middle East,1073,1072,14994,3456,13.97,137
15,16,Poland,Eastern Europe,1034,1014,11829,3779,11.44,120
16,17,Malaysia,Asiatic Region,846,838,10920,1747,12.91,120
17,18,Netherlands,Western Europe,823,800,10730,1798,13.04,190
18,19,Portugal,Western Europe,786,734,10537,1214,13.41,116
19,20,Russian Federation,Eastern Europe,775,753,5453,1780,7.04,69
20,21,Singapore,Asiatic Region,709,683,19674,2014,27.75,210
21,22,Hong Kong,Asiatic Region,673,663,14954,1273,22.22,208
22,23,Czech Republic,Eastern Europe,620,613,4294,1174,6.93,99
23,24,Romania,Eastern Europe,618,613,3457,809,5.59,70
24,25,Switzerland,Western Europe,608,587,26514,1713,43.61,193
25,26,Greece,Western Europe,596,583,6349,976,10.65,129
26,27,Sweden,Western Europe,583,570,5298,1046,9.09,116
27,28,Turkey,Middle East,582,575,9734,1822,16.73,172
28,29,Mexico,Latin America,572,563,5505,1162,9.62,106
29,30,Austria,Western Europe,554,526,6485,1423,11.71,112
30,31,Finland,Western Europe,510,496,7222,1167,14.16,142
31,32,Belgium,Western Europe,500,481,11075,1099,22.15,156
32,33,Saudi Arabia,Middle East,437,434,11807,1138,27.02,116
33,34,Denmark,Western Europe,383,370,4777,790,12.47,92
34,35,South Africa,Africa,349,315,2102,463,6.02,69
35,36,Ireland,Western Europe,338,330,3467,443,10.26,87
36,37,Israel,Middle East,334,330,7639,1201,22.87,176
37,38,Norway,Western Europe,326,316,3381,531,10.37,80
38,39,Thailand,Asiatic Region,279,276,1991,351,7.14,62
39,40,Egypt,Africa/Middle East,277,257,4171,1033,15.06,100
40,41,Pakistan,Asiatic Region,264,264,3381,669,12.81,83
41,42,Algeria,Africa,260,260,2045,352,7.87,64
42,43,Slovakia,Eastern Europe,253,250,1608,542,6.36,61
43,44,New Zealand,Pacific Region,230,222,2599,317,11.3,95
44,45,Indonesia,Asiatic Region,221,219,1863,522,8.43,45
45,46,Tunisia,Africa,203,200,1632,417,8.04,52
46,47,Colombia,Latin America,201,200,1472,185,7.32,50
47,48,Serbia,Eastern Europe,199,195,1824,356,9.17,60
48,49,Hungary,Eastern Europe,196,191,1181,302,6.03,71
49,50,Viet Nam,Asiatic Region,171,170,2430,572,14.21,67
50,51,Ukraine,Eastern Europe,164,162,1067,895,6.51,35
51,52,Chile,Latin America,157,147,1866,281,11.89,69
52,53,Slovenia,Eastern Europe,143,137,2082,382,14.56,87
53,54,United Arab Emirates,Middle East,142,135,1210,170,8.52,62
54,55,Qatar,Middle East,119,115,3167,360,26.61,71
55,56,Lebanon,Middle East,118,117,1243,116,10.53,39
56,57,Morocco,Africa,118,116,699,224,5.92,45
57,58,Argentina,Latin America,107,106,1158,183,10.82,50
58,59,Kuwait,Middle East,102,101,881,65,8.64,40
59,60,Ecuador,Latin America,101,101,799,199,7.91,30
60,61,Macao,Asiatic Region,92,92,3557,180,38.66,78
61,62,Jordan,Middle East,89,86,743,156,8.35,67
62,63,Croatia,Eastern Europe,85,83,816,153,9.6,50
63,64,Lithuania,Eastern Europe,79,79,881,97,11.15,42
64,65,Bulgaria,Eastern Europe,74,73,557,119,7.53,39
65,66,Cyprus,Western Europe,66,60,326,74,4.94,39
66,67,Luxembourg,Western Europe,58,55,860,102,14.83,45
67,68,Bangladesh,Asiatic Region,53,52,580,105,10.94,50
68,69,Estonia,Eastern Europe,44,43,372,81,8.45,29
69,70,Iraq,Middle East,44,44,769,126,17.48,45
70,71,Peru,Latin America,41,41,165,25,4.02,21
71,72,Montenegro,Eastern Europe,39,38,149,40,3.82,11
72,73,Bosnia and Herzegovina,Eastern Europe,39,39,201,44,5.15,23
73,74,Venezuela,Latin America,31,31,263,96,8.48,33
74,75,Philippines,Asiatic Region,30,30,187,40,6.23,31
75,76,Costa Rica,Latin America,30,30,326,46,10.87,15
76,77,Nigeria,Africa,28,28,407,30,14.54,34
77,78,Sri Lanka,Asiatic Region,27,27,150,11,5.56,27
78,79,Belarus,Eastern Europe,27,27,126,31,4.67,21
79,80,Cuba,Latin America,26,24,541,45,20.81,36
80,81,Latvia,Eastern Europe,25,25,133,35,5.32,18
81,82,Kazakhstan,Asiatic Region,25,25,101,11,4.04,23
82,83,Macedonia,Eastern Europe,24,24,192,25,8.0,22
83,84,Paraguay,Latin America,22,22,269,14,12.23,11
84,85,Sudan,Africa,20,20,88,6,4.4,14
85,86,Oman,Middle East,20,19,268,10,13.4,30
86,87,Uruguay,Latin America,19,19,128,16,6.74,20
87,88,Iceland,Western Europe,18,18,142,24,7.89,36
88,89,Malta,Western Europe,18,18,319,78,17.72,29
89,90,Libya,Africa,16,16,98,30,6.13,15
90,91,Kenya,Africa,15,15,25,2,1.67,15
91,92,Albania,Eastern Europe,13,13,65,3,5.0,13
92,93,Bahrain,Middle East,13,11,34,6,2.62,20
93,94,Ethiopia,Africa,13,13,43,10,3.31,17
94,95,Palestine,Middle East,12,12,222,27,18.5,38
95,96,Fiji,Pacific Region,12,12,310,54,25.83,21
96,97,Malawi,Africa,12,12,31,2,2.58,4
97,98,Puerto Rico,Latin America,12,12,30,9,2.5,14
98,99,Senegal,Africa,8,8,10,4,1.25,10
99,100,Myanmar,Asiatic Region,7,7,46,4,6.57,13
100,101,Uganda,Africa,7,7,20,2,2.86,15
101,102,Ghana,Africa,7,7,54,3,7.71,19
102,103,Azerbaijan,Eastern Europe,6,6,359,94,59.83,30
103,104,North Korea,Asiatic Region,5,5,81,0,16.2,9
104,105,Botswana,Africa,5,5,16,3,3.2,12
105,106,Georgia,Eastern Europe,4,4,215,10,53.75,20
106,107,Syrian Arab Republic,Middle East,4,4,15,3,3.75,17
107,108,Mauritius,Africa,4,4,21,1,5.25,12
