,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,United States,Northern America,2262,2211,205965,58008,91.05,612
1,2,Japan,Asiatic Region,907,893,22700,4734,25.03,200
2,3,United Kingdom,Western Europe,721,705,38873,6188,53.92,334
3,4,China,Asiatic Region,652,647,10079,5354,15.46,357
4,5,France,Western Europe,434,427,13528,2977,31.17,235
5,6,Germany,Western Europe,434,432,23697,3420,54.6,264
6,7,Canada,Northern America,373,363,15982,1985,42.85,263
7,8,South Korea,Asiatic Region,368,358,6957,941,18.9,169
8,9,Italy,Western Europe,362,356,8847,2059,24.44,205
9,10,Spain,Western Europe,320,313,10075,2357,31.48,223
10,11,Taiwan,Asiatic Region,294,289,11010,2401,37.45,199
11,12,Australia,Pacific Region,290,286,6592,914,22.73,231
12,13,Hong Kong,Asiatic Region,185,181,5651,538,30.55,208
13,14,Netherlands,Western Europe,178,177,10968,1172,61.62,190
14,15,Singapore,Asiatic Region,154,154,5463,615,35.47,210
15,16,Belgium,Western Europe,123,122,6886,491,55.98,156
16,17,Israel,Middle East,123,119,5525,514,44.92,176
17,18,India,Asiatic Region,107,105,3364,866,31.44,186
18,19,Brazil,Latin America,105,102,1268,260,12.08,132
19,20,Poland,Eastern Europe,101,100,4354,945,43.11,120
20,21,Greece,Western Europe,91,91,5581,370,61.33,129
21,22,Sweden,Western Europe,87,86,3135,387,36.03,116
22,23,Switzerland,Western Europe,75,74,4572,457,60.96,193
23,24,Portugal,Western Europe,74,69,1023,128,13.82,116
24,25,Austria,Western Europe,69,67,1743,201,25.26,112
25,26,Finland,Western Europe,54,54,2154,289,39.89,142
26,27,Turkey,Middle East,52,50,1299,177,24.98,172
27,28,Czech Republic,Eastern Europe,50,49,791,257,15.82,99
28,29,Mexico,Latin America,39,39,920,343,23.59,106
29,30,New Zealand,Pacific Region,32,32,722,70,22.56,95
30,31,Slovenia,Eastern Europe,31,29,1434,98,46.26,87
31,32,Slovakia,Eastern Europe,31,30,654,116,21.1,61
32,33,Hungary,Eastern Europe,30,30,1423,57,47.43,71
33,34,Thailand,Asiatic Region,28,28,454,71,16.21,62
34,35,Russian Federation,Eastern Europe,25,25,438,57,17.52,69
35,36,Egypt,Africa/Middle East,24,24,293,42,12.21,100
36,37,Denmark,Western Europe,24,23,822,62,34.25,92
37,38,Iran,Middle East,22,22,600,253,27.27,137
38,39,Saudi Arabia,Middle East,19,19,333,18,17.53,116
39,40,Romania,Eastern Europe,18,18,123,24,6.83,70
40,41,South Africa,Africa,17,17,705,49,41.47,69
41,42,Serbia,Eastern Europe,16,16,175,24,10.94,60
42,43,Algeria,Africa,15,15,102,21,6.8,64
43,44,Venezuela,Latin America,14,14,846,45,60.43,33
44,45,Argentina,Latin America,14,14,139,14,9.93,50
45,46,Ireland,Western Europe,14,13,487,23,34.79,87
46,47,Norway,Western Europe,12,12,390,34,32.5,80
47,48,Malaysia,Asiatic Region,11,11,52,8,4.73,120
48,49,Jordan,Middle East,11,11,471,26,42.82,67
49,50,United Arab Emirates,Middle East,9,9,77,7,8.56,62
50,51,Cyprus,Western Europe,8,7,168,23,21.0,39
51,52,Lithuania,Eastern Europe,8,8,48,21,6.0,42
52,53,Bulgaria,Eastern Europe,8,8,896,10,112.0,39
53,54,Chile,Latin America,8,8,193,33,24.13,69
54,55,Tunisia,Africa,7,7,248,74,35.43,52
55,56,Morocco,Africa,6,6,104,7,17.33,45
56,57,Kuwait,Middle East,5,5,251,6,50.2,40
57,58,Indonesia,Asiatic Region,5,5,27,1,5.4,45
58,59,Ukraine,Eastern Europe,4,4,15,6,3.75,35
59,60,Oman,Middle East,4,4,35,4,8.75,30
60,61,Colombia,Latin America,4,4,21,4,5.25,50
61,62,Belarus,Eastern Europe,4,4,26,6,6.5,21
62,63,Viet Nam,Asiatic Region,4,4,45,5,11.25,67
63,64,Croatia,Eastern Europe,3,3,4,1,1.33,50
64,65,Macedonia,Eastern Europe,3,3,13,3,4.33,22
65,66,Cuba,Latin America,3,3,198,17,66.0,36
66,67,Lebanon,Middle East,2,2,4,1,2.0,39
67,68,Uruguay,Latin America,2,2,11,1,5.5,20
68,69,Pakistan,Asiatic Region,2,2,1,1,0.5,83
69,70,Philippines,Asiatic Region,2,2,16,0,8.0,31
70,71,Bangladesh,Asiatic Region,2,2,3,0,1.5,50
71,72,Trinidad and Tobago,Latin America,2,2,2,2,1.0,12
72,73,Azerbaijan,Eastern Europe,2,2,38,5,19.0,30
73,74,Paraguay,Latin America,1,1,0,0,0.0,11
74,75,Guadeloupe,Latin America,1,1,3,0,3.0,3
75,76,Iceland,Western Europe,1,1,4,0,4.0,36
76,77,Moldova,Eastern Europe,1,1,0,0,0.0,7
77,78,Barbados,Latin America,1,1,2,2,2.0,4
78,79,Latvia,Eastern Europe,1,1,12,1,12.0,18
79,80,Sri Lanka,Asiatic Region,1,1,0,0,0.0,27
80,81,Palestine,Middle East,1,1,15,0,15.0,38
81,82,Estonia,Eastern Europe,1,1,29,10,29.0,29
82,83,Qatar,Middle East,1,1,1,0,1.0,71
