,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,8012,7945,139480,91137,17.41,357
1,2,United States,Northern America,7260,6905,140839,46233,19.4,612
2,3,United Kingdom,Western Europe,2861,2703,51505,9779,18.0,334
3,4,Japan,Asiatic Region,2637,2573,17193,4858,6.52,200
4,5,Germany,Western Europe,2499,2385,33772,8217,13.51,264
5,6,India,Asiatic Region,1916,1894,23467,8403,12.25,186
6,7,Spain,Western Europe,1866,1792,31250,6385,16.75,223
7,8,France,Western Europe,1845,1749,23631,4960,12.81,235
8,9,Italy,Western Europe,1672,1555,24139,6276,14.44,205
9,10,Australia,Pacific Region,1431,1379,27883,4369,19.48,231
10,11,Canada,Northern America,1380,1330,47512,4723,34.43,263
11,12,South Korea,Asiatic Region,1328,1318,14399,2214,10.84,169
12,13,Taiwan,Asiatic Region,1135,1115,13956,2038,12.3,199
13,14,Brazil,Latin America,1027,1008,11964,2664,11.65,132
14,15,Iran,Middle East,873,871,14111,3558,16.16,137
15,16,Poland,Eastern Europe,756,730,9692,3428,12.82,120
16,17,Netherlands,Western Europe,752,723,10239,1643,13.62,190
17,18,Malaysia,Asiatic Region,740,736,10878,1827,14.7,120
18,19,Portugal,Western Europe,698,657,7041,1271,10.09,116
19,20,Singapore,Asiatic Region,660,636,16446,1780,24.92,210
20,21,Czech Republic,Eastern Europe,593,583,4429,1368,7.47,99
21,22,Hong Kong,Asiatic Region,549,528,15431,1343,28.11,208
22,23,Greece,Western Europe,533,519,6113,938,11.47,129
23,24,Mexico,Latin America,503,488,6091,1217,12.11,106
24,25,Switzerland,Western Europe,493,466,12172,1349,24.69,193
25,26,Turkey,Middle East,463,458,9357,1539,20.21,172
26,27,Sweden,Western Europe,455,426,7175,950,15.77,116
27,28,Austria,Western Europe,439,416,6263,1056,14.27,112
28,29,Belgium,Western Europe,429,410,7517,955,17.52,156
29,30,Romania,Eastern Europe,392,382,3770,590,9.62,70
30,31,Finland,Western Europe,367,352,4999,874,13.62,142
31,32,Russian Federation,Eastern Europe,360,352,1516,688,4.21,69
32,33,Saudi Arabia,Middle East,305,304,7497,1148,24.58,116
33,34,Israel,Middle East,305,301,5576,853,18.28,176
34,35,Denmark,Western Europe,298,285,3280,544,11.01,92
35,36,Hungary,Eastern Europe,293,288,1691,564,5.77,71
36,37,Ireland,Western Europe,240,225,2839,347,11.83,87
37,38,New Zealand,Pacific Region,234,230,2851,513,12.18,95
38,39,Colombia,Latin America,218,216,1121,155,5.14,50
39,40,Pakistan,Asiatic Region,215,215,3085,883,14.35,83
40,41,Egypt,Africa/Middle East,209,208,2681,366,12.83,100
41,42,Norway,Western Europe,203,199,2174,294,10.71,80
42,43,Slovakia,Eastern Europe,187,185,1312,436,7.02,61
43,44,Tunisia,Africa,172,172,1498,500,8.71,52
44,45,South Africa,Africa,162,154,1069,293,6.6,69
45,46,Thailand,Asiatic Region,149,148,985,157,6.61,62
46,47,Serbia,Eastern Europe,147,146,1778,365,12.1,60
47,48,Indonesia,Asiatic Region,145,144,929,277,6.41,45
48,49,Viet Nam,Asiatic Region,143,141,1422,425,9.94,67
49,50,Algeria,Africa,142,142,1147,219,8.08,64
50,51,Slovenia,Eastern Europe,139,137,3399,322,24.45,87
51,52,Morocco,Africa,135,134,1149,233,8.51,45
52,53,Chile,Latin America,131,127,2642,228,20.17,69
53,54,Ukraine,Eastern Europe,114,114,380,267,3.33,35
54,55,Argentina,Latin America,112,107,1305,188,11.65,50
55,56,United Arab Emirates,Middle East,83,83,2388,202,28.77,62
56,57,Qatar,Middle East,80,78,1814,292,22.68,71
57,58,Macao,Asiatic Region,76,76,4164,206,54.79,78
58,59,Bulgaria,Eastern Europe,70,67,296,71,4.23,39
59,60,Lithuania,Eastern Europe,70,70,382,75,5.46,42
60,61,Croatia,Eastern Europe,64,63,1057,143,16.52,50
61,62,Luxembourg,Western Europe,63,62,653,72,10.37,45
62,63,Sri Lanka,Asiatic Region,59,56,204,56,3.46,27
63,64,Latvia,Eastern Europe,59,59,143,72,2.42,18
64,65,Estonia,Eastern Europe,53,51,386,73,7.28,29
65,66,Cuba,Latin America,52,52,493,95,9.48,36
66,67,Philippines,Asiatic Region,51,51,324,73,6.35,31
67,68,Iraq,Middle East,40,40,339,67,8.48,45
68,69,Jordan,Middle East,40,40,947,80,23.68,67
69,70,Venezuela,Latin America,39,39,187,31,4.79,33
