,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,11359,11299,101923,59032,8.97,357
1,2,United States,Northern America,7101,6927,188557,61733,26.55,612
2,3,Japan,Asiatic Region,2906,2853,22421,7233,7.72,200
3,4,United Kingdom,Western Europe,2173,2041,59944,9374,27.59,334
4,5,Germany,Western Europe,2026,1958,36970,8444,18.25,264
5,6,Spain,Western Europe,1578,1540,33290,7394,21.1,223
6,7,France,Western Europe,1578,1525,34428,6348,21.82,235
7,8,India,Asiatic Region,1559,1547,18045,6051,11.57,186
8,9,South Korea,Asiatic Region,1398,1378,20369,2286,14.57,169
9,10,Italy,Western Europe,1349,1309,21308,5436,15.8,205
10,11,Canada,Northern America,1280,1241,56181,4837,43.89,263
11,12,Taiwan,Asiatic Region,1259,1234,27115,4009,21.54,199
12,13,Australia,Pacific Region,981,953,20399,3200,20.79,231
13,14,Netherlands,Western Europe,653,619,13194,1915,20.21,190
14,15,Iran,Middle East,609,609,12593,3043,20.68,137
15,16,Romania,Eastern Europe,588,586,2402,763,4.09,70
16,17,Brazil,Latin America,550,543,6866,1447,12.48,132
17,18,Singapore,Asiatic Region,514,497,13219,1187,25.72,210
18,19,Mexico,Latin America,470,458,3533,845,7.52,106
19,20,Malaysia,Asiatic Region,461,459,5075,1113,11.01,120
20,21,Turkey,Middle East,458,454,16387,2274,35.78,172
21,22,Poland,Eastern Europe,454,431,6244,2368,13.75,120
22,23,Switzerland,Western Europe,429,421,11322,1175,26.39,193
23,24,Hong Kong,Asiatic Region,428,419,17874,1244,41.76,208
24,25,Portugal,Western Europe,399,388,5010,762,12.56,116
25,26,Greece,Western Europe,380,367,7141,878,18.79,129
26,27,Czech Republic,Eastern Europe,380,371,4217,1263,11.1,99
27,28,Belgium,Western Europe,317,307,17480,1107,55.14,156
28,29,Austria,Western Europe,309,292,4321,786,13.98,112
29,30,Sweden,Western Europe,303,292,4256,561,14.05,116
30,31,Finland,Western Europe,279,273,8457,952,30.31,142
31,32,Hungary,Eastern Europe,246,241,2084,568,8.47,71
32,33,Israel,Middle East,234,223,10744,894,45.91,176
33,34,Thailand,Asiatic Region,205,204,1502,196,7.33,62
34,35,Ireland,Western Europe,203,200,2529,242,12.46,87
35,36,Denmark,Western Europe,198,190,4409,661,22.27,92
36,37,Slovakia,Eastern Europe,170,167,1603,490,9.43,61
37,38,Algeria,Africa,158,157,1587,244,10.04,64
38,39,South Africa,Africa,155,151,1281,219,8.26,69
39,40,Egypt,Africa/Middle East,153,149,2194,220,14.34,100
40,41,Norway,Western Europe,147,141,2181,275,14.84,80
41,42,Russian Federation,Eastern Europe,136,130,645,241,4.74,69
42,43,Serbia,Eastern Europe,128,128,1670,322,13.05,60
43,44,New Zealand,Pacific Region,128,124,3205,356,25.04,95
44,45,Saudi Arabia,Middle East,112,111,979,184,8.74,116
45,46,Slovenia,Eastern Europe,108,106,2157,244,19.97,87
46,47,Pakistan,Asiatic Region,95,94,970,265,10.21,83
47,48,Tunisia,Africa,93,93,952,323,10.24,52
48,49,Bulgaria,Eastern Europe,91,89,228,87,2.51,39
49,50,Colombia,Latin America,85,83,449,69,5.28,50
50,51,Argentina,Latin America,84,81,692,102,8.24,50
51,52,Chile,Latin America,80,80,937,161,11.71,69
52,53,United Arab Emirates,Middle East,65,65,436,54,6.71,62
53,54,Jordan,Middle East,63,62,525,70,8.33,67
54,55,Viet Nam,Asiatic Region,63,62,668,100,10.6,67
55,56,Venezuela,Latin America,51,51,300,37,5.88,33
56,57,Lithuania,Eastern Europe,46,46,327,80,7.11,42
57,58,Croatia,Eastern Europe,46,45,889,58,19.33,50
58,59,Luxembourg,Western Europe,40,30,293,57,7.33,45
59,60,Macao,Asiatic Region,39,38,377,41,9.67,78
60,61,Cyprus,Western Europe,39,38,359,23,9.21,39
61,62,Bangladesh,Asiatic Region,38,38,398,59,10.47,50
62,63,Cuba,Latin America,38,37,476,132,12.53,36
63,64,Estonia,Eastern Europe,37,37,129,70,3.49,29
64,65,Latvia,Eastern Europe,37,37,194,83,5.24,18
65,66,Lebanon,Middle East,32,32,312,34,9.75,39
66,67,Indonesia,Asiatic Region,24,24,156,41,6.5,45
67,68,Iceland,Western Europe,21,19,1211,62,57.67,36
68,69,Ukraine,Eastern Europe,21,20,82,28,3.9,35
69,70,Morocco,Africa,20,20,187,91,9.35,45
70,71,Puerto Rico,Latin America,15,14,115,11,7.67,14
71,72,Kuwait,Middle East,14,14,97,5,6.93,40
72,73,Nigeria,Africa,13,13,49,5,3.77,34
73,74,Qatar,Middle East,13,13,257,13,19.77,71
74,75,Georgia,Eastern Europe,11,11,27,22,2.45,20
75,76,Bahrain,Middle East,10,10,99,1,9.9,20
76,77,Ethiopia,Africa,10,10,235,12,23.5,17
77,78,Uganda,Africa,9,9,76,11,8.44,15
78,79,Iraq,Middle East,9,9,96,3,10.67,45
79,80,Costa Rica,Latin America,8,8,29,2,3.63,15
80,81,Oman,Middle East,8,8,467,5,58.38,30
81,82,Trinidad and Tobago,Latin America,8,8,57,4,7.13,12
82,83,Palestine,Middle East,7,7,24,10,3.43,38
83,84,Libya,Africa,7,7,20,1,2.86,15
84,85,Macedonia,Eastern Europe,7,7,12,2,1.71,22
85,86,Peru,Latin America,6,6,2,0,0.33,21
86,87,Panama,Latin America,6,6,28,4,4.67,9
87,88,Albania,Eastern Europe,5,5,42,12,8.4,13
88,89,Syrian Arab Republic,Middle East,5,5,94,0,18.8,17
89,90,Ecuador,Latin America,5,5,5,2,1.0,30
90,91,Bosnia and Herzegovina,Eastern Europe,4,4,830,2,207.5,23
91,92,Belarus,Eastern Europe,4,4,20,3,5.0,21
92,93,Fiji,Pacific Region,4,3,40,13,10.0,21
93,94,Montenegro,Eastern Europe,4,4,3,1,0.75,11
94,95,Uruguay,Latin America,4,4,1404,10,351.0,20
95,96,Kenya,Africa,4,4,7,0,1.75,15
96,97,Namibia,Africa,4,4,112,21,28.0,15
97,98,Afghanistan,Asiatic Region,4,4,4,3,1.0,8
98,99,El Salvador,Latin America,4,3,14,2,3.5,7
99,100,Jamaica,Latin America,3,3,47,0,15.67,10
100,101,Sri Lanka,Asiatic Region,3,3,13,1,4.33,27
101,102,Mongolia,Asiatic Region,3,3,11,0,3.67,7
102,103,Malta,Western Europe,3,3,1,0,0.33,29
103,104,Ghana,Africa,3,3,6,2,2.0,19
104,105,Philippines,Asiatic Region,3,3,11,0,3.67,31
105,106,Armenia,Eastern Europe,3,3,0,0,0.0,9
106,107,Nepal,Asiatic Region,2,2,0,0,0.0,13
107,108,Sudan,Africa,2,2,27,0,13.5,14
108,109,Botswana,Africa,2,2,42,0,21.0,12
109,110,Benin,Africa,2,2,2,0,1.0,6
110,111,Tanzania,Africa,2,2,1,0,0.5,9
111,112,Liechtenstein,Western Europe,2,1,4,0,2.0,10
112,113,Azerbaijan,Eastern Europe,2,2,35,11,17.5,30
113,114,Yemen,Middle East,2,2,51,0,25.5,23
114,115,Paraguay,Latin America,2,2,0,0,0.0,11
115,116,Senegal,Africa,1,1,5,1,5.0,10
116,117,New Caledonia,Pacific Region,1,1,12,0,12.0,7
117,118,Mozambique,Africa,1,1,3,0,3.0,2
118,119,Kazakhstan,Asiatic Region,1,1,1,0,1.0,23
119,120,Mauritius,Africa,1,1,0,0,0.0,12
120,121,Guadeloupe,Latin America,1,1,3,1,3.0,3
121,122,Myanmar,Asiatic Region,1,1,1,0,1.0,13
122,123,Madagascar,Africa,1,1,0,0,0.0,3
123,124,Zimbabwe,Africa,1,1,1,0,1.0,9
124,125,North Korea,Asiatic Region,1,1,3,1,3.0,9
125,126,Cameroon,Africa,1,1,1,1,1.0,17
126,127,Belize,Latin America,1,1,24,0,24.0,2
127,128,Grenada,Latin America,1,1,0,0,0.0,0
128,129,Laos,Asiatic Region,1,1,6,2,6.0,5
129,130,Kyrgyzstan,Asiatic Region,1,1,1,0,1.0,3
130,131,Bahamas,Latin America,1,1,8,1,8.0,1
131,132,Bolivia,Latin America,1,1,0,0,0.0,6
132,133,Brunei Darussalam,Asiatic Region,1,1,16,3,16.0,16
