,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,8261,8204,122048,75563,14.77,357
1,2,United States,Northern America,6824,6568,160450,50644,23.51,612
2,3,Japan,Asiatic Region,2852,2785,18458,5436,6.47,200
3,4,United Kingdom,Western Europe,2400,2266,53862,10915,22.44,334
4,5,Germany,Western Europe,2370,2231,41943,8959,17.7,264
5,6,India,Asiatic Region,2205,2190,22687,8543,10.29,186
6,7,Spain,Western Europe,1781,1626,38945,7546,21.87,223
7,8,France,Western Europe,1613,1545,31865,5554,19.76,235
8,9,Italy,Western Europe,1566,1418,28890,6925,18.45,205
9,10,South Korea,Asiatic Region,1529,1512,16130,2233,10.55,169
10,11,Australia,Pacific Region,1347,1298,25137,3883,18.66,231
11,12,Canada,Northern America,1306,1265,31304,3670,23.97,263
12,13,Taiwan,Asiatic Region,1100,1082,15237,2387,13.85,199
13,14,Brazil,Latin America,903,880,10451,2380,11.57,132
14,15,Iran,Middle East,768,763,13143,3140,17.11,137
15,16,Netherlands,Western Europe,758,724,17242,2030,22.75,190
16,17,Poland,Eastern Europe,736,716,8100,3524,11.01,120
17,18,Singapore,Asiatic Region,599,580,17643,1947,29.45,210
18,19,Greece,Western Europe,515,503,7688,1176,14.93,129
19,20,Portugal,Western Europe,515,477,7217,1358,14.01,116
20,21,Switzerland,Western Europe,471,438,11066,1270,23.49,193
21,22,Hong Kong,Asiatic Region,449,436,17401,1359,38.76,208
22,23,Mexico,Latin America,441,429,5256,1267,11.92,106
23,24,Turkey,Middle East,440,433,9019,1355,20.5,172
24,25,Czech Republic,Eastern Europe,430,412,4122,1030,9.59,99
25,26,Austria,Western Europe,413,394,6691,1079,16.2,112
26,27,Sweden,Western Europe,413,395,4633,852,11.22,116
27,28,Malaysia,Asiatic Region,385,381,6910,1249,17.95,120
28,29,Belgium,Western Europe,384,359,8529,1070,22.21,156
29,30,Romania,Eastern Europe,335,334,2436,556,7.27,70
30,31,Israel,Middle East,324,303,5369,751,16.57,176
31,32,Hungary,Eastern Europe,287,282,1879,746,6.55,71
