,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,16885,16769,203351,131701,12.04,357
1,2,United States,Northern America,12664,12173,180615,62874,14.26,612
2,3,India,Asiatic Region,6943,6841,48357,19443,6.96,186
3,4,Japan,Asiatic Region,4668,4552,24814,7355,5.32,200
4,5,United Kingdom,Western Europe,4155,3957,61158,11796,14.72,334
5,6,Germany,Western Europe,3684,3506,39835,10792,10.81,264
6,7,France,Western Europe,2693,2588,27373,6167,10.16,235
7,8,Italy,Western Europe,2450,2294,30240,8636,12.34,205
8,9,Canada,Northern America,2243,2161,31803,4292,14.18,263
9,10,Spain,Western Europe,2044,1927,23959,5343,11.72,223
10,11,Australia,Pacific Region,2032,1939,39155,5641,19.27,231
11,12,South Korea,Asiatic Region,1986,1950,16679,2621,8.4,169
12,13,Taiwan,Asiatic Region,1661,1636,11087,1713,6.67,199
13,14,Brazil,Latin America,1543,1497,15460,3346,10.02,132
14,15,Iran,Middle East,1528,1524,15291,3433,10.01,137
15,16,Poland,Eastern Europe,1127,1077,11632,3321,10.32,120
16,17,Netherlands,Western Europe,1052,989,11396,1945,10.83,190
17,18,Russian Federation,Eastern Europe,1002,984,8478,2483,8.46,69
18,19,Singapore,Asiatic Region,962,934,22254,2312,23.13,210
19,20,Switzerland,Western Europe,827,768,13624,1723,16.47,193
20,21,Hong Kong,Asiatic Region,792,777,20806,1777,26.27,208
21,22,Portugal,Western Europe,778,735,6794,1350,8.73,116
22,23,Greece,Western Europe,770,745,6201,1255,8.05,129
23,24,Turkey,Middle East,763,755,10144,1524,13.29,172
24,25,Sweden,Western Europe,762,730,7599,1079,9.97,116
25,26,Malaysia,Asiatic Region,694,688,9649,1684,13.9,120
26,27,Mexico,Latin America,654,630,5659,1039,8.65,106
27,28,Austria,Western Europe,641,608,6581,1269,10.27,112
28,29,Belgium,Western Europe,610,581,7512,1149,12.31,156
29,30,Romania,Eastern Europe,590,567,4050,710,6.86,70
30,31,Czech Republic,Eastern Europe,575,555,6254,1421,10.88,99
31,32,Finland,Western Europe,559,542,7016,1003,12.55,142
32,33,Saudi Arabia,Middle East,558,547,10178,1416,18.24,116
33,34,Indonesia,Asiatic Region,552,543,3059,1230,5.54,45
34,35,Egypt,Africa/Middle East,517,500,5107,788,9.88,100
35,36,Denmark,Western Europe,489,480,7080,980,14.48,92
36,37,Norway,Western Europe,425,420,2874,631,6.76,80
37,38,Pakistan,Asiatic Region,406,401,5165,929,12.72,83
38,39,Israel,Middle East,399,390,7453,995,18.68,176
39,40,Tunisia,Africa,375,353,2516,763,6.71,52
40,41,Ireland,Western Europe,367,351,3005,441,8.19,87
41,42,Thailand,Asiatic Region,366,328,1921,425,5.25,62
42,43,South Africa,Africa,333,319,2429,388,7.29,69
43,44,Ukraine,Eastern Europe,333,332,1830,1191,5.5,35
44,45,New Zealand,Pacific Region,314,296,2669,481,8.5,95
45,46,Bangladesh,Asiatic Region,313,302,1782,455,5.69,50
46,47,Morocco,Africa,308,298,1879,493,6.1,45
47,48,Viet Nam,Asiatic Region,305,294,2821,677,9.25,67
48,49,Slovakia,Eastern Europe,300,294,1718,577,5.73,61
49,50,Hungary,Eastern Europe,284,277,1313,484,4.62,71
50,51,Argentina,Latin America,264,259,1262,178,4.78,50
51,52,Colombia,Latin America,258,248,1125,189,4.36,50
52,53,Algeria,Africa,232,224,1983,415,8.55,64
53,54,United Arab Emirates,Middle East,224,220,2589,287,11.56,62
54,55,Chile,Latin America,187,178,2484,328,13.28,69
55,56,Philippines,Asiatic Region,175,174,933,284,5.33,31
