,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,United States,Northern America,2081,2073,142931,39178,68.68,612
1,2,Japan,Asiatic Region,507,506,12814,2637,25.27,200
2,3,United Kingdom,Western Europe,482,482,18844,3609,39.1,334
3,4,France,Western Europe,332,332,11203,2527,33.74,235
4,5,Germany,Western Europe,324,323,14260,2045,44.01,264
5,6,Canada,Northern America,282,281,13704,1435,48.6,263
6,7,Italy,Western Europe,240,239,8126,1486,33.86,205
7,8,Australia,Pacific Region,217,216,8515,728,39.24,231
8,9,India,Asiatic Region,199,199,3266,622,16.41,186
9,10,Taiwan,Asiatic Region,190,190,4155,771,21.87,199
10,11,Spain,Western Europe,187,187,9359,1345,50.05,223
11,12,South Korea,Asiatic Region,181,181,3647,473,20.15,169
12,13,China,Asiatic Region,149,148,4521,1318,30.34,357
13,14,Hong Kong,Asiatic Region,103,103,3190,426,30.97,208
14,15,Israel,Middle East,90,90,13906,549,154.51,176
15,16,Netherlands,Western Europe,88,87,2956,528,33.59,190
16,17,Singapore,Asiatic Region,85,85,5919,234,69.64,210
17,18,Belgium,Western Europe,68,68,2649,208,38.96,156
18,19,Greece,Western Europe,60,60,2181,233,36.35,129
19,20,Switzerland,Western Europe,56,56,2431,219,43.41,193
20,21,Sweden,Western Europe,50,50,1671,166,33.42,116
21,22,Czech Republic,Eastern Europe,50,50,908,153,18.16,99
22,23,Russian Federation,Eastern Europe,46,46,835,53,18.15,69
23,24,Austria,Western Europe,40,40,2316,153,57.9,112
24,25,Finland,Western Europe,32,32,1146,121,35.81,142
25,26,Slovenia,Eastern Europe,31,31,989,115,31.9,87
26,27,Brazil,Latin America,31,31,387,67,12.48,132
27,28,New Zealand,Pacific Region,30,30,446,47,14.87,95
28,29,Turkey,Middle East,29,29,1020,77,35.17,172
29,30,Poland,Eastern Europe,29,29,686,120,23.66,120
30,31,Hungary,Eastern Europe,26,26,915,134,35.19,71
31,32,Denmark,Western Europe,25,25,608,43,24.32,92
32,33,Portugal,Western Europe,23,23,270,52,11.74,116
33,34,Mexico,Latin America,21,21,511,147,24.33,106
34,35,Egypt,Africa/Middle East,21,21,626,23,29.81,100
35,36,Belarus,Eastern Europe,21,21,14,12,0.67,21
36,37,Latvia,Eastern Europe,20,20,5,3,0.25,18
37,38,Slovakia,Eastern Europe,18,18,388,66,21.56,61
38,39,Bulgaria,Eastern Europe,13,13,383,22,29.46,39
39,40,Iran,Middle East,12,12,268,36,22.33,137
40,41,Saudi Arabia,Middle East,10,10,137,14,13.7,116
41,42,Romania,Eastern Europe,9,9,120,13,13.33,70
42,43,Norway,Western Europe,7,7,519,6,74.14,80
43,44,South Africa,Africa,6,6,118,5,19.67,69
44,45,Chile,Latin America,6,6,37,0,6.17,69
45,46,Cyprus,Western Europe,6,6,51,5,8.5,39
46,47,Lebanon,Middle East,6,6,505,0,84.17,39
47,48,Thailand,Asiatic Region,6,6,527,34,87.83,62
48,49,Ukraine,Eastern Europe,6,6,109,43,18.17,35
49,50,Serbia,Eastern Europe,5,5,16,7,3.2,60
50,51,Ireland,Western Europe,5,5,49,20,9.8,87
51,52,Kuwait,Middle East,5,5,40,11,8.0,40
52,53,Argentina,Latin America,5,5,105,13,21.0,50
53,54,Tunisia,Africa,5,5,30,9,6.0,52
54,55,Viet Nam,Asiatic Region,4,4,36,11,9.0,67
55,56,Malaysia,Asiatic Region,4,4,55,4,13.75,120
56,57,United Arab Emirates,Middle East,3,3,54,0,18.0,62
57,58,Bangladesh,Asiatic Region,3,3,9,1,3.0,50
58,59,Morocco,Africa,3,3,22,3,7.33,45
59,60,Croatia,Eastern Europe,3,3,23,8,7.67,50
60,61,Venezuela,Latin America,2,2,134,12,67.0,33
61,62,Algeria,Africa,2,2,347,5,173.5,64
62,63,Puerto Rico,Latin America,2,2,20,0,10.0,14
63,64,Oman,Middle East,2,2,174,0,87.0,30
64,65,Estonia,Eastern Europe,2,2,21,4,10.5,29
65,66,Lithuania,Eastern Europe,2,2,81,11,40.5,42
66,67,Macedonia,Eastern Europe,1,1,3,0,3.0,22
67,68,Nigeria,Africa,1,1,12,3,12.0,34
68,69,Sri Lanka,Asiatic Region,1,1,63,0,63.0,27
69,70,Kenya,Africa,1,1,55,1,55.0,15
70,71,Pakistan,Asiatic Region,1,1,46,0,46.0,83
71,72,Jordan,Middle East,1,1,3,0,3.0,67
72,73,Iceland,Western Europe,1,1,132,7,132.0,36
73,74,Indonesia,Asiatic Region,1,1,11,10,11.0,45
74,75,Georgia,Eastern Europe,1,1,12,2,12.0,20
75,76,Dominica,Latin America,1,1,14,4,14.0,2
76,77,Bahrain,Middle East,1,1,0,0,0.0,20
77,78,Trinidad and Tobago,Latin America,1,1,0,0,0.0,12
78,79,Uzbekistan,Asiatic Region,1,1,3,0,3.0,12
79,80,Malta,Western Europe,1,1,0,0,0.0,29
