,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,21378,21183,227589,150381,10.65,357
1,2,United States,Northern America,13131,12501,173991,53505,13.25,612
2,3,India,Asiatic Region,11612,11272,67074,28177,5.78,186
3,4,Japan,Asiatic Region,4464,4313,24098,6014,5.4,200
4,5,United Kingdom,Western Europe,4067,3831,70927,11525,17.44,334
5,6,Germany,Western Europe,3323,3161,36847,9091,11.09,264
6,7,France,Western Europe,2369,2224,23753,4145,10.03,235
7,8,Italy,Western Europe,2280,2076,27876,7041,12.23,205
8,9,South Korea,Asiatic Region,2164,2135,19492,2917,9.01,169
9,10,Australia,Pacific Region,2104,1990,39202,5634,18.63,231
10,11,Canada,Northern America,2069,1968,26736,3762,12.92,263
11,12,Spain,Western Europe,1995,1840,24728,4715,12.39,223
12,13,Iran,Middle East,1937,1895,18248,4976,9.42,137
13,14,Brazil,Latin America,1914,1875,12328,3019,6.44,132
14,15,Turkey,Middle East,1885,1869,10996,2081,5.83,172
15,16,Indonesia,Asiatic Region,1745,1731,6678,2665,3.83,45
16,17,Taiwan,Asiatic Region,1350,1308,10276,1392,7.61,199
17,18,Malaysia,Asiatic Region,1264,1232,12111,2385,9.58,120
18,19,Thailand,Asiatic Region,1153,1064,3771,719,3.27,62
19,20,Singapore,Asiatic Region,1074,1039,23076,2305,21.49,210
20,21,Netherlands,Western Europe,965,920,11853,1825,12.28,190
21,22,Poland,Eastern Europe,965,860,7272,1891,7.54,120
22,23,Russian Federation,Eastern Europe,954,923,5407,2400,5.67,69
23,24,Hong Kong,Asiatic Region,876,848,19657,1930,22.44,208
24,25,Portugal,Western Europe,788,743,6613,1291,8.39,116
25,26,Saudi Arabia,Middle East,779,755,12821,1687,16.46,116
26,27,Pakistan,Asiatic Region,763,738,8401,2259,11.01,83
27,28,Mexico,Latin America,742,645,5307,1138,7.15,106
28,29,Switzerland,Western Europe,735,668,15545,1569,21.15,193
29,30,Romania,Eastern Europe,706,693,3508,821,4.97,70
30,31,Greece,Western Europe,662,641,5751,1133,8.69,129
31,32,Sweden,Western Europe,654,628,7742,990,11.84,116
32,33,Austria,Western Europe,604,545,5292,942,8.76,112
33,34,Czech Republic,Eastern Europe,571,554,4331,1023,7.58,99
34,35,Belgium,Western Europe,545,523,8325,1022,15.28,156
35,36,Morocco,Africa,508,499,2143,578,4.22,45
36,37,Finland,Western Europe,487,473,4943,772,10.15,142
37,38,Viet Nam,Asiatic Region,470,412,5167,1080,10.99,67
38,39,Tunisia,Africa,467,448,2861,551,6.13,52
39,40,Bangladesh,Asiatic Region,449,445,3671,964,8.18,50
40,41,Denmark,Western Europe,444,426,4296,765,9.68,92
41,42,Algeria,Africa,426,418,2784,510,6.54,64
42,43,Egypt,Africa/Middle East,422,373,5755,1057,13.64,100
43,44,Norway,Western Europe,419,404,3494,706,8.34,80
44,45,Ecuador,Latin America,411,409,1518,447,3.69,30
45,46,Colombia,Latin America,399,393,1834,351,4.6,50
46,47,South Africa,Africa,378,367,2808,496,7.43,69
47,48,Israel,Middle East,361,329,5011,757,13.88,176
48,49,New Zealand,Pacific Region,342,327,4743,524,13.87,95
49,50,United Arab Emirates,Middle East,315,293,2773,388,8.8,62
50,51,Ireland,Western Europe,289,270,3757,377,13.0,87
51,52,Ukraine,Eastern Europe,286,283,1366,1009,4.78,35
52,53,Hungary,Eastern Europe,265,261,1864,413,7.03,71
53,54,Slovakia,Eastern Europe,253,252,1522,575,6.02,61
54,55,Philippines,Asiatic Region,239,239,1241,348,5.19,31
55,56,Jordan,Middle East,191,185,5059,714,26.49,67
56,57,Iraq,Middle East,187,185,2176,378,11.64,45
57,58,Macao,Asiatic Region,179,171,3351,294,18.72,78
58,59,Serbia,Eastern Europe,170,165,1107,288,6.51,60
59,60,Chile,Latin America,165,159,1648,447,9.99,69
60,61,Croatia,Eastern Europe,165,165,1263,201,7.65,50
61,62,Slovenia,Eastern Europe,162,150,2000,277,12.35,87
62,63,Peru,Latin America,154,152,438,142,2.84,21
63,64,Sri Lanka,Asiatic Region,150,148,468,117,3.12,27
64,65,Argentina,Latin America,137,131,535,99,3.91,50
65,66,Lebanon,Middle East,136,132,708,123,5.21,39
66,67,Bulgaria,Eastern Europe,135,120,726,220,5.38,39
67,68,Qatar,Middle East,133,130,2126,233,15.98,71
68,69,Nigeria,Africa,127,123,1307,184,10.29,34
69,70,Oman,Middle East,106,87,629,80,5.93,30
70,71,Cyprus,Western Europe,88,87,686,94,7.8,39
71,72,Estonia,Eastern Europe,82,81,479,160,5.84,29
72,73,Kuwait,Middle East,78,66,510,129,6.54,40
73,74,Luxembourg,Western Europe,74,71,882,86,11.92,45
74,75,Lithuania,Eastern Europe,68,64,307,59,4.51,42
75,76,Costa Rica,Latin America,65,65,138,57,2.12,15
76,77,Latvia,Eastern Europe,60,60,251,85,4.18,18
77,78,Bahrain,Middle East,59,58,259,31,4.39,20
78,79,Kazakhstan,Asiatic Region,59,58,291,74,4.93,23
79,80,Bosnia and Herzegovina,Eastern Europe,53,52,500,68,9.43,23
80,81,Palestine,Middle East,49,48,1719,158,35.08,38
81,82,Myanmar,Asiatic Region,47,47,185,6,3.94,13
82,83,Cuba,Latin America,47,46,416,51,8.85,36
83,84,Kenya,Africa,43,43,388,13,9.02,15
84,85,Malta,Western Europe,41,34,800,92,19.51,29
85,86,Macedonia,Eastern Europe,39,37,151,23,3.87,22
86,87,Venezuela,Latin America,38,37,182,33,4.79,33
