Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
Somalia,Africa,9,9,1,0,0.11,1
Turkmenistan,Asiatic Region,9,9,36,14,4,2
Faroe Islands,Western Europe,9,9,51,1,5.67,3
Gabon,Africa,9,9,67,4,7.44,3
Burundi,Africa,8,8,107,4,13.38,4
Liberia,Africa,8,7,2,0,0.25,1
French Polynesia,Pacific Region,7,7,22,1,3.14,2
Chad,Africa,7,7,47,0,6.71,3
Niger,Africa,7,7,18,1,2.57,3
Timor-Leste,Asiatic Region,7,7,5,0,0.71,1
Sierra Leone,Africa,7,7,28,2,4,3
Reunion,Africa,7,6,30,0,4.29,1
Guyana,Latin America,6,5,31,0,5.17,2
Congo,Africa,5,4,14,1,2.8,2
Monaco,Western Europe,5,5,5,0,1,1
Togo,Africa,5,5,4,1,0.8,1
San Marino,Western Europe,4,4,4,0,1,1
Bahamas,Latin America,4,4,8,1,2,1
Gambia,Africa,4,4,3,0,0.75,1
Haïti,Latin America,4,3,1,0,0.25,1
Guam,Pacific Region,4,4,1,0,0.25,1
Grenada,Latin America,3,3,0,0,0,0
Martinique,Latin America,3,3,16,0,5.33,2
French Guiana,Latin America,3,3,10,1,3.33,2
Belize,Latin America,3,3,27,0,9,2
Eritrea,Africa,3,3,1,0,0.33,1
Cape Verde,Africa,2,2,2,0,1,1
Andorra,Western Europe,2,2,18,0,9,1
Samoa,Pacific Region,2,2,0,0,0,0
Aruba,Latin America,2,1,1,0,0.5,1
British Indian Ocean Territory,Africa,2,2,0,0,0,0
Cayman Islands,Latin America,2,2,0,0,0,0
Dominica,Latin America,2,2,28,6,14,2
Gibraltar,Western Europe,2,2,1,0,0.5,1
Djibouti,Africa,2,2,15,0,7.5,1
Republic of South Sudan,Africa,1,1,2,0,2,1
Christmas Island,Pacific Region,1,1,0,0,0,0
Suriname,Latin America,1,1,1,0,1,1
Saint Lucia,Latin America,1,1,0,0,0,0
Solomon Islands,Pacific Region,1,1,0,0,0,0
Bermuda,Latin America,1,1,6,0,6,1
South Georgia and the South Sandwich Islands,Latin America,1,1,0,0,0,0
Vatican City State,Western Europe,1,0,1,0,1,1
Virgin Islands (U.S.),Latin America,1,1,0,0,0,0
Vanuatu,Pacific Region,1,1,0,0,0,0
Sao Tome and Principe,Africa,1,1,0,0,0,0
