,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,30624,30374,211035,137247,6.89,357
1,2,United States,Northern America,15050,14489,141530,44484,9.4,612
2,3,India,Asiatic Region,10886,10424,58219,24677,5.35,186
3,4,Japan,Asiatic Region,5226,5065,20165,5357,3.86,200
4,5,United Kingdom,Western Europe,4575,4271,45205,8950,9.88,334
5,6,Germany,Western Europe,4189,4006,29786,8493,7.11,264
6,7,Indonesia,Asiatic Region,2963,2940,8153,3219,2.75,45
7,8,Italy,Western Europe,2734,2338,22972,6505,8.4,205
8,9,South Korea,Asiatic Region,2568,2461,17929,2966,6.98,169
9,10,Canada,Northern America,2566,2458,23064,3777,8.99,263
10,11,France,Western Europe,2553,2391,19171,3648,7.51,235
11,12,Australia,Pacific Region,2541,2402,32501,4905,12.79,231
12,13,Brazil,Latin America,2375,2304,13157,2639,5.54,132
13,14,Russian Federation,Eastern Europe,2293,2152,6429,3478,2.8,69
14,15,Spain,Western Europe,2141,1924,19135,3812,8.94,223
15,16,Taiwan,Asiatic Region,1862,1820,8283,1340,4.45,199
16,17,Turkey,Middle East,1827,1807,11757,2305,6.44,172
17,18,Iran,Middle East,1615,1572,13601,3344,8.42,137
18,19,Malaysia,Asiatic Region,1554,1532,10732,2024,6.91,120
19,20,Pakistan,Asiatic Region,1392,1384,10965,3947,7.88,83
20,21,Poland,Eastern Europe,1129,1015,6622,1780,5.87,120
21,22,Singapore,Asiatic Region,1118,1062,16019,2056,14.33,210
22,23,Netherlands,Western Europe,1108,1018,9718,1653,8.77,190
23,24,Thailand,Asiatic Region,1105,1089,3376,583,3.06,62
24,25,Bangladesh,Asiatic Region,1092,1083,5572,1521,5.1,50
25,26,Romania,Eastern Europe,1015,1000,2895,718,2.85,70
26,27,Saudi Arabia,Middle East,998,978,9788,1848,9.81,116
27,28,Hong Kong,Asiatic Region,995,975,15806,1870,15.89,208
28,29,Egypt,Africa/Middle East,971,926,8033,1489,8.27,100
29,30,Portugal,Western Europe,896,817,6016,1217,6.71,116
30,31,Morocco,Africa,882,837,3169,977,3.59,45
31,32,Switzerland,Western Europe,875,775,10400,1490,11.89,193
32,33,Philippines,Asiatic Region,871,869,2282,890,2.62,31
33,34,South Africa,Africa,835,805,4033,810,4.83,69
34,35,Mexico,Latin America,814,762,3718,792,4.57,106
35,36,United Arab Emirates,Middle East,776,748,3741,847,4.82,62
36,37,Sweden,Western Europe,737,701,7057,1045,9.58,116
37,38,Greece,Western Europe,683,663,4738,1022,6.94,129
38,39,Czech Republic,Eastern Europe,637,622,3530,812,5.54,99
39,40,Austria,Western Europe,623,583,4863,933,7.81,112
40,41,Finland,Western Europe,605,584,5684,1076,9.4,142
41,42,Viet Nam,Asiatic Region,599,588,4335,1037,7.24,67
42,43,Belgium,Western Europe,575,529,4418,802,7.68,156
43,44,Algeria,Africa,567,556,1961,455,3.46,64
44,45,Hungary,Eastern Europe,490,476,1850,896,3.78,71
45,46,Denmark,Western Europe,479,443,3797,596,7.93,92
46,47,Iraq,Middle East,477,474,2630,888,5.51,45
47,48,Ukraine,Eastern Europe,473,455,1419,1119,3.0,35
48,49,Chile,Latin America,443,438,1818,411,4.1,69
49,50,Israel,Middle East,422,416,2851,507,6.76,176
50,51,Norway,Western Europe,420,400,3271,639,7.79,80
51,52,Nigeria,Africa,417,410,1814,410,4.35,34
52,53,Ireland,Western Europe,411,391,2939,499,7.15,87
53,54,New Zealand,Pacific Region,404,385,3308,523,8.19,95
54,55,Sri Lanka,Asiatic Region,399,397,1240,298,3.11,27
55,56,Colombia,Latin America,350,333,995,212,2.84,50
56,57,Tunisia,Africa,292,280,1702,364,5.83,52
57,58,Slovakia,Eastern Europe,286,282,1261,387,4.41,61
58,59,Ecuador,Latin America,285,273,718,209,2.52,30
59,60,Jordan,Middle East,275,273,2416,409,8.79,67
60,61,Bulgaria,Eastern Europe,239,186,574,348,2.4,39
61,62,Peru,Latin America,236,234,403,150,1.71,21
62,63,Argentina,Latin America,220,213,548,120,2.49,50
63,64,Serbia,Eastern Europe,191,181,966,243,5.06,60
64,65,Qatar,Middle East,188,185,1712,321,9.11,71
65,66,Macao,Asiatic Region,180,176,3171,242,17.62,78
66,67,Kazakhstan,Asiatic Region,172,170,518,195,3.01,23
67,68,Slovenia,Eastern Europe,162,144,1621,216,10.01,87
68,69,Croatia,Eastern Europe,154,153,839,156,5.45,50
69,70,Lebanon,Middle East,143,139,600,91,4.2,39
70,71,Luxembourg,Western Europe,120,114,1036,170,8.63,45
71,72,Cyprus,Western Europe,118,107,600,153,5.08,39
72,73,Estonia,Eastern Europe,106,105,1033,144,9.75,29
73,74,Myanmar,Asiatic Region,85,84,276,20,3.25,13
74,75,Oman,Middle East,78,77,358,65,4.59,30
75,76,Yemen,Middle East,78,78,360,91,4.62,23
76,77,Bahrain,Middle East,75,74,219,29,2.92,20
77,78,Kuwait,Middle East,73,73,476,61,6.52,40
78,79,Latvia,Eastern Europe,66,65,137,62,2.08,18
79,80,Cuba,Latin America,64,55,404,59,6.31,36
80,81,Costa Rica,Latin America,58,57,123,16,2.12,15
81,82,Malta,Western Europe,55,43,310,58,5.64,29
82,83,Lithuania,Eastern Europe,54,52,525,57,9.72,42
83,84,Macedonia,Eastern Europe,53,53,190,41,3.58,22
84,85,Botswana,Africa,52,52,240,29,4.62,12
85,86,Bosnia and Herzegovina,Eastern Europe,46,46,309,54,6.72,23
86,87,Palestine,Middle East,45,45,601,47,13.36,38
87,88,Paraguay,Latin America,44,39,89,29,2.02,11
88,89,Ghana,Africa,41,40,275,18,6.71,19
89,90,Uruguay,Latin America,39,39,160,35,4.1,20
90,91,Kenya,Africa,39,39,110,15,2.82,15
91,92,Ethiopia,Africa,37,37,239,49,6.46,17
92,93,Azerbaijan,Eastern Europe,36,36,182,13,5.06,30
93,94,Mauritius,Africa,36,35,334,11,9.28,12
94,95,Belarus,Eastern Europe,32,31,80,17,2.5,21
95,96,Nepal,Asiatic Region,30,29,233,11,7.77,13
96,97,Brunei Darussalam,Asiatic Region,29,29,202,35,6.97,16
97,98,Venezuela,Latin America,28,27,153,30,5.46,33
98,99,Armenia,Eastern Europe,25,25,90,3,3.6,9
99,100,Sudan,Africa,21,21,69,10,3.29,14
100,101,Zimbabwe,Africa,21,21,89,2,4.24,9
101,102,Puerto Rico,Latin America,19,19,51,8,2.68,14
102,103,Iceland,Western Europe,18,17,42,15,2.33,36
103,104,Cameroon,Africa,17,17,116,13,6.82,17
104,105,Libya,Africa,17,17,65,22,3.82,15
105,106,Senegal,Africa,17,17,53,8,3.12,10
106,107,Panama,Latin America,17,17,23,4,1.35,9
107,108,Georgia,Eastern Europe,16,14,96,19,6.0,20
108,109,Namibia,Africa,16,16,79,31,4.94,15
109,110,Kyrgyzstan,Asiatic Region,14,8,14,2,1.0,3
110,111,Albania,Eastern Europe,14,13,46,6,3.29,13
111,112,Uganda,Africa,13,13,96,5,7.38,15
112,113,Honduras,Latin America,13,13,33,5,2.54,8
113,114,Tanzania,Africa,12,12,47,10,3.92,9
114,115,El Salvador,Latin America,12,11,16,5,1.33,7
115,116,Zambia,Africa,11,11,47,1,4.27,6
116,117,Uzbekistan,Asiatic Region,11,11,30,17,2.73,12
117,118,Guatemala,Latin America,11,10,26,7,2.36,6
118,119,Benin,Africa,10,10,37,11,3.7,6
119,120,Mongolia,Asiatic Region,9,9,9,0,1.0,7
120,121,Moldova,Eastern Europe,9,9,10,2,1.11,7
121,122,Laos,Asiatic Region,9,7,11,0,1.22,5
122,123,Rwanda,Africa,8,7,98,7,12.25,11
123,124,Fiji,Pacific Region,6,6,68,28,11.33,21
124,125,Madagascar,Africa,6,6,5,1,0.83,3
125,126,Afghanistan,Asiatic Region,6,6,17,2,2.83,8
126,127,Syrian Arab Republic,Middle East,6,6,14,1,2.33,17
127,128,Trinidad and Tobago,Latin America,5,3,29,0,5.8,12
128,129,North Korea,Asiatic Region,5,4,17,2,3.4,9
129,130,Mali,Africa,5,5,7,0,1.4,3
130,131,Bolivia,Latin America,5,5,55,0,11.0,6
131,132,Swaziland,Africa,5,5,16,1,3.2,6
132,133,Dominican Republic,Latin America,4,4,8,0,2.0,3
133,134,Burundi,Africa,4,4,64,4,16.0,4
134,135,Liechtenstein,Western Europe,4,4,119,6,29.75,10
135,136,Papua New Guinea,Pacific Region,4,4,12,5,3.0,9
136,137,Lesotho,Africa,3,3,20,1,6.67,4
137,138,Cambodia,Asiatic Region,3,3,1,0,0.33,4
138,139,New Caledonia,Pacific Region,3,3,13,1,4.33,7
139,140,Mauritania,Africa,3,3,2,0,0.67,1
140,141,Montenegro,Eastern Europe,3,3,14,1,4.67,11
141,142,Angola,Africa,3,3,5,0,1.67,2
142,143,Tajikistan,Asiatic Region,3,3,16,0,5.33,5
143,144,Faroe Islands,Western Europe,2,2,26,1,13.0,3
144,145,Togo,Africa,2,2,4,1,2.0,1
145,146,Bhutan,Asiatic Region,2,2,8,0,4.0,5
146,147,Nicaragua,Latin America,2,2,1,0,0.5,2
147,148,Maldives,Asiatic Region,2,2,10,0,5.0,5
148,149,Reunion,Africa,1,1,0,0,0.0,1
149,150,Democratic Republic Congo,Africa,1,1,0,0,0.0,2
150,151,Sierra Leone,Africa,1,1,2,0,2.0,3
151,152,Côte d’Ivoire,Africa,1,1,0,0,0.0,4
152,153,Suriname,Latin America,1,1,1,0,1.0,1
153,154,Sao Tome and Principe,Africa,1,1,0,0,0.0,0
154,155,Niger,Africa,1,1,0,0,0.0,3
155,156,Haïti,Latin America,1,0,1,0,1.0,1
156,157,Barbados,Latin America,1,1,0,0,0.0,4
157,158,Timor-Leste,Asiatic Region,1,1,3,0,3.0,1
158,159,Mozambique,Africa,1,1,0,0,0.0,2
159,160,Jamaica,Latin America,1,1,6,0,6.0,10
160,161,Guadeloupe,Latin America,1,1,2,0,2.0,3
161,162,Guam,Pacific Region,1,1,0,0,0.0,1
162,163,Guyana,Latin America,1,0,27,0,27.0,2
163,164,Bahamas,Latin America,1,1,0,0,0.0,1
