,Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
0,1,China,Asiatic Region,32367,32080,178298,119692,5.51,357
1,2,United States,Northern America,15164,14395,104766,32677,6.91,612
2,3,India,Asiatic Region,13155,12734,59348,25991,4.51,186
3,4,United Kingdom,Western Europe,4746,4488,40892,7569,8.62,334
4,5,Japan,Asiatic Region,4399,4259,14333,3544,3.26,200
5,6,Germany,Western Europe,4231,4050,22811,6800,5.39,264
6,7,Russian Federation,Eastern Europe,3195,3157,5319,2740,1.66,69
7,8,Italy,Western Europe,3032,2817,20652,5630,6.81,205
8,9,Indonesia,Asiatic Region,2710,2685,5239,2316,1.93,45
9,10,Australia,Pacific Region,2700,2559,29447,4177,10.91,231
10,11,Canada,Northern America,2569,2450,20806,3126,8.1,263
11,12,France,Western Europe,2511,2369,13274,2834,5.29,235
12,13,Spain,Western Europe,2122,1976,13994,2856,6.59,223
13,14,South Korea,Asiatic Region,2117,2065,12877,2212,6.08,169
14,15,Taiwan,Asiatic Region,1900,1854,7842,1273,4.13,199
15,16,Brazil,Latin America,1824,1781,7709,1776,4.23,132
16,17,Iran,Middle East,1541,1508,11666,2755,7.57,137
17,18,Turkey,Middle East,1489,1467,9454,1841,6.35,172
18,19,Bangladesh,Asiatic Region,1467,1446,5778,1634,3.94,50
19,20,Malaysia,Asiatic Region,1349,1326,7591,1637,5.63,120
20,21,Netherlands,Western Europe,1253,1187,9476,1674,7.56,190
21,22,Saudi Arabia,Middle East,1134,1103,8143,1539,7.18,116
22,23,Poland,Eastern Europe,1082,922,4873,1507,4.5,120
23,24,Pakistan,Asiatic Region,1073,1056,7989,2262,7.45,83
24,25,Romania,Eastern Europe,1027,1000,2137,517,2.08,70
25,26,Singapore,Asiatic Region,1004,955,13101,1583,13.05,210
26,27,Morocco,Africa,947,935,2777,932,2.93,45
27,28,Greece,Western Europe,914,859,4778,1070,5.23,129
28,29,Hong Kong,Asiatic Region,881,856,10091,1222,11.45,208
29,30,Thailand,Asiatic Region,881,849,1722,372,1.95,62
30,31,Egypt,Africa/Middle East,867,830,5984,1466,6.9,100
31,32,Portugal,Western Europe,826,775,3828,734,4.63,116
32,33,Switzerland,Western Europe,825,791,8704,1126,10.55,193
33,34,Mexico,Latin America,818,706,3830,661,4.68,106
34,35,Sweden,Western Europe,816,777,6244,880,7.65,116
35,36,Viet Nam,Asiatic Region,809,792,4498,933,5.56,67
36,37,United Arab Emirates,Middle East,750,726,3875,754,5.17,62
37,38,South Africa,Africa,748,722,1838,486,2.46,69
38,39,Austria,Western Europe,689,643,3922,883,5.69,112
39,40,Finland,Western Europe,640,620,5515,755,8.62,142
40,41,Belgium,Western Europe,599,573,3735,658,6.24,156
41,42,Tunisia,Africa,594,593,1944,486,3.27,52
42,43,Algeria,Africa,591,584,2078,388,3.52,64
43,44,Denmark,Western Europe,553,537,3852,685,6.97,92
44,45,Czech Republic,Eastern Europe,532,488,2321,596,4.36,99
45,46,Ireland,Western Europe,507,483,3341,540,6.59,87
46,47,Philippines,Asiatic Region,504,503,1019,526,2.02,31
47,48,Ukraine,Eastern Europe,502,484,1367,1046,2.72,35
48,49,Iraq,Middle East,482,473,2398,641,4.98,45
49,50,Norway,Western Europe,475,456,2461,457,5.18,80
50,51,Bulgaria,Eastern Europe,453,425,805,373,1.78,39
51,52,Israel,Middle East,434,398,2577,433,5.94,176
52,53,Sri Lanka,Asiatic Region,418,414,894,266,2.14,27
53,54,Hungary,Eastern Europe,411,396,1279,373,3.11,71
54,55,New Zealand,Pacific Region,394,380,2938,406,7.46,95
55,56,Colombia,Latin America,371,364,822,127,2.22,50
56,57,Argentina,Latin America,327,322,523,135,1.6,50
57,58,Ecuador,Latin America,313,311,580,159,1.85,30
58,59,Jordan,Middle East,293,274,3364,579,11.48,67
59,60,Peru,Latin America,284,284,488,203,1.72,21
60,61,Qatar,Middle East,255,252,2146,313,8.42,71
61,62,Slovakia,Eastern Europe,245,236,810,236,3.31,61
62,63,Chile,Latin America,217,211,1268,176,5.84,69
63,64,Nigeria,Africa,212,209,1492,271,7.04,34
64,65,Serbia,Eastern Europe,201,196,843,221,4.19,60
65,66,Uzbekistan,Asiatic Region,198,198,444,346,2.24,12
66,67,Kazakhstan,Asiatic Region,197,197,793,171,4.03,23
67,68,Croatia,Eastern Europe,177,173,619,115,3.5,50
